name,rank
Comrade #1,9596
Comrade #2,1602
Comrade #3,3490
Comrade #4,1786
Comrade #5,1299
Comrade #6,2285
Comrade #7,6472
Comrade #8,4870
Comrade #9,4198
Comrade #10,8569
Comrade #11,6965
Comrade #12,2108
Comrade #13,4062
Comrade #14,1106
Comrade #15,6742
Comrade #16,3122
Comrade #17,8921
Comrade #18,1262
Comrade #19,1037
Comrade #20,3037
Comrade #21,5981
Comrade #22,7367
Comrade #23,9646
Comrade #24,8440
Comrade #25,7413
Comrade #26,2089
Comrade #27,9035
Comrade #28,5180
Comrade #29,3426
Comrade #30,6262
Comrade #31,3063
Comrade #32,2011
Comrade #33,7607
Comrade #34,688
Comrade #35,5694
Comrade #36,1593
Comrade #37,4417
Comrade #38,7681
Comrade #39,5944
Comrade #40,4404
Comrade #41,8037
Comrade #42,8285
Comrade #43,951
Comrade #44,4388
Comrade #45,1542
Comrade #46,7585
Comrade #47,356
Comrade #48,6289
Comrade #49,8345
Comrade #50,2184
Comrade #51,1665
Comrade #52,2558
Comrade #53,2974
Comrade #54,2208
Comrade #55,8844
Comrade #56,3934
Comrade #57,3323
Comrade #58,936
Comrade #59,224
Comrade #60,833
Comrade #61,1720
Comrade #62,9811
Comrade #63,6432
Comrade #64,5624
Comrade #65,7504
Comrade #66,4904
Comrade #67,3667
Comrade #68,2126
Comrade #69,5554
Comrade #70,4995
Comrade #71,8913
Comrade #72,7174
Comrade #73,274
Comrade #74,4933
Comrade #75,5549
Comrade #76,8485
Comrade #77,1677
Comrade #78,597
Comrade #79,1142
Comrade #80,8300
Comrade #81,7550
Comrade #82,2644
Comrade #83,3045
Comrade #84,3492
Comrade #85,551
Comrade #86,6553
Comrade #87,3797
Comrade #88,6707
Comrade #89,7053
Comrade #90,9694
Comrade #91,5847
Comrade #92,5821
Comrade #93,220
Comrade #94,4857
Comrade #95,5498
Comrade #96,6323
Comrade #97,6646
Comrade #98,7192
Comrade #99,7322
Comrade #100,7597
Comrade #101,9602
