-------------------------------------------------------------
Rarity Scores for Traits:
-------------------------------------------------------------
Eyes - Big Shades with Spook Enhancements | rarity score = 660.00 | frequency = 1 / 660
Head - Purr People Mouse Radar | rarity score = 660.00 | frequency = 1 / 660
Mouth - For Real - I promise | rarity score = 660.00 | frequency = 1 / 660
Head - Pigtails black | rarity score = 660.00 | frequency = 1 / 660
Head - McD Cap Black | rarity score = 330.00 | frequency = 2 / 660
Head - Block Construction Forman Helmet | rarity score = 330.00 | frequency = 2 / 660
Eyes - Purr People Eyes | rarity score = 330.00 | frequency = 2 / 660
Head - Weird Sexy Alien | rarity score = 330.00 | frequency = 2 / 660
Head - Tippy Toppy Top Hat | rarity score = 330.00 | frequency = 2 / 660
Head - Blockchain Maintanance Helmet | rarity score = 330.00 | frequency = 2 / 660
Head - Circuit Hair | rarity score = 330.00 | frequency = 2 / 660
Head - Spookytail Blonde | rarity score = 220.00 | frequency = 3 / 660
Head - Stuntman Helmet (PUNKAYC) | rarity score = 220.00 | frequency = 3 / 660
Head - Swimming Cap | rarity score = 220.00 | frequency = 3 / 660
Head - Captains Hat | rarity score = 220.00 | frequency = 3 / 660
Eyes - Watching Interview with the Vampire | rarity score = 165.00 | frequency = 4 / 660
Head - Spookytail Purple | rarity score = 165.00 | frequency = 4 / 660
Eyes - Ready For Battle | rarity score = 165.00 | frequency = 4 / 660
Eyes - Inner Vision Pumpkin | rarity score = 165.00 | frequency = 4 / 660
Head - Nexus Cap | rarity score = 132.00 | frequency = 5 / 660
Mouth - Bonus Eye | rarity score = 132.00 | frequency = 5 / 660
Mouth - Pumpkin Tongue | rarity score = 132.00 | frequency = 5 / 660
Mouth - Insecure Laughter | rarity score = 132.00 | frequency = 5 / 660
Head - Slick | rarity score = 132.00 | frequency = 5 / 660
Head - Ram Alamadingdong | rarity score = 110.00 | frequency = 6 / 660
Mouth - But but but but | rarity score = 110.00 | frequency = 6 / 660
Type - Carbon Fibre Kink Suite | rarity score = 110.00 | frequency = 6 / 660
Mouth - Evil Robot Voice Modulator | rarity score = 110.00 | frequency = 6 / 660
Mouth - Bubblegum | rarity score = 110.00 | frequency = 6 / 660
Head - Fancy Hair blonde | rarity score = 110.00 | frequency = 6 / 660
Head - Hash Mesh | rarity score = 110.00 | frequency = 6 / 660
Cloths - Flannel | rarity score = 110.00 | frequency = 6 / 660
Head - Bubble Tea Hair | rarity score = 110.00 | frequency = 6 / 660
Eyes - Zombie Eye Patch | rarity score = 110.00 | frequency = 6 / 660
Mouth - ULULULULULUL | rarity score = 110.00 | frequency = 6 / 660
Relics - Corrupted FUD Crystal | rarity score = 110.00 | frequency = 6 / 660
Relics - Jef's Scepter of Skullability | rarity score = 110.00 | frequency = 6 / 660
Mouth - Single Use Doomsday Mask | rarity score = 110.00 | frequency = 6 / 660
Head - Spookytail Black | rarity score = 94.29 | frequency = 7 / 660
Mouth - Bloody Purr People Snout | rarity score = 94.29 | frequency = 7 / 660
Head - BCPD Police Cap | rarity score = 94.29 | frequency = 7 / 660
Head - Straight af | rarity score = 94.29 | frequency = 7 / 660
Head - Pumpkin Helmet | rarity score = 94.29 | frequency = 7 / 660
Eyes - Purple Paranoia | rarity score = 94.29 | frequency = 7 / 660
Mouth - Pumpkin Teeth | rarity score = 94.29 | frequency = 7 / 660
Relics - Sword of Discord | rarity score = 94.29 | frequency = 7 / 660
Mouth - OY!!!! | rarity score = 94.29 | frequency = 7 / 660
Eyes - Orange Visoor | rarity score = 94.29 | frequency = 7 / 660
Cloths - Presidential Suit | rarity score = 82.50 | frequency = 8 / 660
Mouth - Genuine Jaw | rarity score = 82.50 | frequency = 8 / 660
Eyes - Sus af | rarity score = 82.50 | frequency = 8 / 660
Head - Rad Day of the Dead hat for Dads | rarity score = 82.50 | frequency = 8 / 660
Mouth - Proud af | rarity score = 82.50 | frequency = 8 / 660
Cloths - Pink Hoodie | rarity score = 82.50 | frequency = 8 / 660
Relics - Blessed Pile of Candy | rarity score = 82.50 | frequency = 8 / 660
Mouth - Pumpkin Shield | rarity score = 82.50 | frequency = 8 / 660
Mouth - 420 again | rarity score = 82.50 | frequency = 8 / 660
Mouth - Foul mouthed | rarity score = 82.50 | frequency = 8 / 660
Head - Bone Crown | rarity score = 82.50 | frequency = 8 / 660
Mouth - Bad Mood | rarity score = 73.33 | frequency = 9 / 660
Head - Wild Purple Hair | rarity score = 73.33 | frequency = 9 / 660
Eyes - Big Eyes | rarity score = 73.33 | frequency = 9 / 660
Head - Death Cap Shower Cap | rarity score = 73.33 | frequency = 9 / 660
Head - Evil Scriptoadz Companion | rarity score = 73.33 | frequency = 9 / 660
Eyes - Strange Mouth Positioning | rarity score = 73.33 | frequency = 9 / 660
Eyes - Evil Bot Visual Sensors | rarity score = 73.33 | frequency = 9 / 660
Mouth - Lick it | rarity score = 73.33 | frequency = 9 / 660
Eyes - Zoned out | rarity score = 66.00 | frequency = 10 / 660
Head - Spooky Void Bat Hat | rarity score = 66.00 | frequency = 10 / 660
Cloths - McD Uniform | rarity score = 66.00 | frequency = 10 / 660
Eyes - Skull Plate | rarity score = 66.00 | frequency = 10 / 660
Head - Spooky Headwind | rarity score = 60.00 | frequency = 11 / 660
Eyes - Spooky MEV Bot Protector Orange | rarity score = 60.00 | frequency = 11 / 660
Head - Skull Bandana | rarity score = 60.00 | frequency = 11 / 660
Cloths - General of the Adeptus Cuborum | rarity score = 60.00 | frequency = 11 / 660
Cloths - Hard Base Uniform | rarity score = 60.00 | frequency = 11 / 660
Type - Human Melanin Level Goth | rarity score = 60.00 | frequency = 11 / 660
Head - Maga Cap | rarity score = 60.00 | frequency = 11 / 660
Full Face - Ghost Costume Full Face | rarity score = 60.00 | frequency = 11 / 660
Head - Wallet Drainer | rarity score = 55.00 | frequency = 12 / 660
Mouth - Traditional Kaiju-Cow Hunter Camouflage | rarity score = 55.00 | frequency = 12 / 660
Eyes - Empty Stare | rarity score = 55.00 | frequency = 12 / 660
Eyes - Hollow Eyes | rarity score = 55.00 | frequency = 12 / 660
Eyes - Sunken Eye | rarity score = 55.00 | frequency = 12 / 660
Eyes - SKULLS FOR THE SKULL GOD v2 | rarity score = 55.00 | frequency = 12 / 660
Mouth - Sniffmaster 9000 | rarity score = 55.00 | frequency = 12 / 660
Eyes - Gooey Scriboor Visoor | rarity score = 55.00 | frequency = 12 / 660
Mouth - Stunned | rarity score = 55.00 | frequency = 12 / 660
Mouth - Horny | rarity score = 55.00 | frequency = 12 / 660
Mouth - Vape | rarity score = 55.00 | frequency = 12 / 660
Mouth - Irresistible Bad Teeth | rarity score = 50.77 | frequency = 13 / 660
Eyes - Shiny Official Rug Lord Fan Club Glasses | rarity score = 50.77 | frequency = 13 / 660
Type - Human Melanin Level 80 | rarity score = 50.77 | frequency = 13 / 660
Head - Dark Knights Helmet | rarity score = 50.77 | frequency = 13 / 660
